非即时对局，在发出请求后，对方如果在三天内没有响应，对局邀请自动关闭。	For non-real-time games, after the request is made, if the opponent does not respond within three days, the game request will be automatically closed.
如果上传的题目已经存在题库中，系统会使用旧的题目，不用担心重复上传	If the uploaded problem already exists in the problem library, the system will use the old problem, so you don’t have to worry about uploading it again.
棋友解答由分享人判定，并由分享人分派奖励给其中一位棋友。	The players’ answers are judged by the sharer, and the sharer distributes a reward to one of the players.
由于错题详细统计和错题重做功能消耗系统资源较多，需要	Because detailed mistake statistics consumes a lot of resources, it is necessary to
设置每道题目的做题次数，达到这个次数没有做对则判错	Set the number of attempts for each problem. If this number is reached, it will be judged wrong.
约定时间的对局，在对局开始前没有响应则自动关闭。	The game at the appointed time will be automatically closed if there is no response before the game starts.
银卡以上会员将会统计会员在每本棋书中的做题数量/正确率信息。	Silver card members or above get correct-rate statistics for each book.
打开题目，思考一段时间才能落子（只对会员有效）	You can think for a while before deciding (only possible for members)
每道题目的做题次数，达到这个次数没有做对则判错	The number of attempts for each problem. If this number is reached, it will be judged wrong.
棋友完成棋书作业后，将在此显示本书做题数据统计	After Go players complete their book homework, the statistics of the book's problem solving data will be displayed here
购买一年以上会员，将获得自己的专属推荐码。	If you purchase a membership for more than one year, you will get your own exclusive referral code.
上传之后，需要对每一道新题目设定大概级别,题目的类型，确认无误，点击保存	After uploading, you need to set the approximate level and type of question for each new question, confirm it is correct, and click Save
此邮箱将接受激活邮件完成账号激活流程	This email address will receive an activation email to complete the account activation process
可同时输入多个数字编号，以空格分隔	Multiple numbers can be entered at the same time, separated by spaces
不选择，则依靠棋友当前级别自动筛选	If you don’t choose, it will be automatically selected based on the current player level
你的用户名和密码不符，请再试一次	Your username and password do not match; please try again
一次生成的题目数量，最多不超过50道。	You cannot generate more than 50 problems at once.
限制时间的对局邀请，对方如果在10分钟内没有响应，对局邀请自动关闭。	For a time-limited game request, if the opponent does not respond within 10 minutes, the game request will be automatically closed.
放到数据库之后，不会立即更新到101围棋题库里面，经过棋友的打分审核通过之后，才会进入题库	After being placed in the library, it will not be immediately updated to the 101weiqi problem library, but needs to pass a review by Go players first.
否则系统会将此分支标为失败解答	otherwise the system will mark this branch as a failed solution
请在图中三角标位置选择最佳着手	Please choose the best triangled move
如果超过时间未做完，则本题判错	If the time is exceeded, the problem will be judged wrong.
由于资源所限，错题本容量限制为	Due to resource constraints, the capacity of the error book is limited to
用于上课，以及课后布置作业。	Used for class and homework assignments after class.
本题为选择题，请选择一个选项	This problem is multiple choice, please select one option
请在棋盘上标出双方所有的死子	Please mark all dead stones on the board
仅仅指定班级的棋友能提交解答	Only players in designated classes can submit solutions
刚注册的棋友都属于普通会员	Newly registered Go players are all ordinary members
单位为天，每多少天一次作业	How often to run the job, in days
请求其他棋友审核，将花费30围豆	Requesting a review from other players costs 30 weidou
上传的文件包大小不能超过100K，单个sgf文件不能超过10K	The size of the uploaded file package cannot exceed 100K, and the size of a single SGF file cannot exceed 10K
请直接用鼠标在棋盘上落子	Use the mouse to play stones
请在棋盘上标出双方的弱棋	Please mark all weak stones on the board
请找出此局面下的最佳一手	Please find the best move in this situation
请勾选下列知识点进行挑选	Please check the boxes below to select categories
大橋流パワーアップ詰碁400	Oohashi-style Power Up Tsumego 400
设置每道题目的做题时间	Set the time limit for each problem
设置每道题目的做题次数	Set the number of opportunities for each problem
请按照顺序在棋盘上落子	Please play the moves in order
请勾选下列棋书进行挑选	Please check the boxes below to select books
只有一次提交解答的机会	Only one opportunity to submit answer
非会员只能选择公开题库	Non-members can only choose the public problem collection
不选择，则混合各种题型	If you don’t choose, problem categories will be mixed
依据棋友当前水平设置	set according to current level
落子确认关闭中，开启	Toggle move confirmation
打印功能只对会员开放	The printing function is only available to members
我的年度错题统计分析	Stats of my mistakes this year
我的本月错题统计分析	Stats of my mistakes this month
一按难度顺序查阅本书	Read this book in order of difficulty
生成闯关题目打印页面	Generate a print page for the test problems
所有棋友都能提交解答	All players can submit answers
充值相应费用后升级为	After recharging the corresponding fee, upgrade to
添加此题到我的棋书中	Add this problem to my book
贡献较多的棋友名单	Top contributors
请至少选择一本棋书	Please select at least one book
请直接在棋盘上落子	Please place the stones on the board
分享时带上本题答案	Please bring the answer to this problem when sharing
一次生成的题目数量	Number of problems generated at a time
按难度顺序查阅本书	Check out this book in difficulty order
按棋书章节顺序做题	Book chapter order
对方接受后开始对局	After the opponent accepts, the match begins
之后，才能开始做题	After that, you can start doing the questions
创建一个围棋教室/棋社	Create a Go classroom/club
的最近训练营对局	recent training camp games
次提交解答的机会	opportunities to submit answers
在限定时间内完成	completed within the time limit
系统自动生成作业	The system automatically generates homework
提交题目答案权重	Submit problem answer weight
显示本题难度级别	Show the difficulty level of this problem
设置比赛计时范围	Set the game time range
审核题目答案权重	Review problem answer weight
错题重做形式设置	Redo mistakes form settings
上传题目许可协议	Problem upload license agreement
我的作业模板列表	My job template list
生成作业打印页面	Generate print page
官子大全官子手筋	Endgame Encyclopedia - Tesuji
一人使用一半时间	Each player uses half the time
创建新的作业模板	Create a new job template
我最近阅读的棋书	Books I've recently read
使用围豆进行提问	Ask using Weidou
公开题库（包含101围棋所有入库题目，未经筛选）	Public problem collection (contains all 101weiqi problems, without screening)
基礎から始める 河野臨の詰碁	Kono Rin’s tsumego starting from the basics
参与的话题列表	participated topic list
按难度顺序选题	in order of difficulty
尚未完成的作业	Unfinished homework
瞄准对方的弱点	Target the opponent’s weakness
出奇制胜的妙手	Surprising winning brilliancies
分享给全体棋友	Share with all Go friends
从错题本中删除	Remove from mistakes book
本题超时未通过	Problem failed by timeout
一次选择的机会	One chance to choose
尚未有错题记录	No error record yet
没有检索到数据	No data retrieved
我的棋书错题本	My mistaken problems book
生きるか死ぬか	Live or die
生成一份新作业	Generate a new assignment
对银卡以上会员	For members with silver card or above
不接受对弈邀请	Do not accept game requests
问道解惑讨论区	Discussion Forum
创建新作业模板	Create a new job template
长时间包干比赛	Correspondence game
金角银边草肚皮	Corner is gold, side is silver, center is grass
围棋知识点专辑	Categories list
每天晚上统计	statistics every night
级位段位证书	rank-level certificates
条数据中检索	items searched
属于变化答案	is a variation answer
属于失败答案	is a failure answer
属于正解答案	is a correct answer
系统随机选题	in random order
扭十字长一方	extend in a crosscut
扭十字長一方	extend in a crosscut
题目名称搜索	Title search
围棋手筋辞典	Tesuji Dictionary
银卡以上会员	Silver card members or above
显示更多信息	Show more information
棋形题目搜索	Shape search
设置题目标签	Set topic tags
选择棋书章节	Select a book chapter
播放演进过程	Replay moves
错题重做记录	Redo mistakes record
做题时间设置	Problem time setting
做题形式设置	Problem settings form
本题已经通过	Problem passed
题目数字编号	Problem ID
打印题目选择	Print problems selection
个人信息设置	Personal information settings
其他地区棋手	Other players
其他分类题目	Other classification
中国古棋规则	Old Chinese rules
我的分享题目	My sharing topic
我的上课记录	My lesson records
我的作业统计	My homework stats
我的作业列表	My homework list
我收藏的棋书	My favorite book
大师的下一手	Master’s next move
发出约战请求	Make a game request
小棋仙训练营	Little Go Fairy Training Camp
围棋死活形状	Life-and-death shapes
上次阅读位置	Last read position
级位题目分类	Kyu-level classification
作业生成时间	Job generation time
隐藏题目审核	Hidden review
围棋快速练习	Go Quick Practice
具体区别参见	For specific differences, see
在题库中筛选	Filter problem library
官子题目列表	Endgame list
被淘汰的答案	Eliminated answer(s)
条答案被淘汰	Eliminated answer(s)
编辑棋书内容	Edit book content
编辑基本信息	Edit basic information
错题详细统计	Detailed mistake statistics
段位题目分类	Dan-level classification
本次题目完成	Current problems completed
创建我的私有	Create my private
创建我的棋书	Create my book
关闭手动输入	Close problem ID input
点击升级会员	Click to upgrade membership
清除所有题目	Clear all problems
围棋教室棋社	Classroom club
围棋经典手筋	Classic tesuji
选择一个选项	Choose an option
棋友证书列表	Certificate list
悬赏题目分享	Bounty topic
我收藏的题目	Bookmarked problems
棋盘大小分类	Board size classification
成为银卡会员	Become a Silver member
围棋基本技能	Basic Go skills
平均做题时间	Average problem time
所有编辑记录	All edit records
接受对弈邀请	Accept game requests
一次上传的sgf压缩包内的文件数量不要超过10个，文件名称不能带有中文	The number of files in the SGF compressed package uploaded at one time should not exceed 10, and the file names cannot contain Chinese characters.
可以把多个sgf文件以zip格式打包上传，也可以上传单个sgf文件。	Multiple SGF files can be packaged and uploaded in zip format, or a single SGF file can be uploaded.
精品题库（9万题，人工筛选，逐题审核，质量保证）	Excellent problem collection (90,000 questions, manual screening, question-by-question review, quality assurance)
和我相关的101棋友动作	101weiqi Friends’ Actions Related to Me
仅仅本教室/棋社的棋友能提交解答	Only players in this classroom/club can submit answers
非常难搞的	very difficult
不限制时间	unlimited time
本题已经被	this problem is
道类似题目	similar topic(s)
非即时对弈	non-real-time games
最后回复人	last reply
定式的变型	joseki variations
应该怎样走	how to proceed
二子頭必扳	hane at the head of two stones
二子头必扳	hane at the head of two stones
两者得其一	get one of the two
有眼殺無眼	eye kills no eye
有眼杀无眼	eye kills no eye
享九折优惠	enjoy 10% off
一子雙双征	dual ladder breaker
一子解双征	dual ladder breaker
烏龜不出頭	crane's nest
乌龟不出头	crane's nest
角部的特性	corner characteristics
作业本名称	Workbook name
微信公众号	WeChat public account
不限定时间	Unlimited time
两扳长一气	Two hane for one liberty
题目知识点	Topic category
今日排行榜	Today’s Leaderboard
此为变化图	This is a variation diagram
此为失败图	This is a failure diagram
此为正解图	This is a correct diagram
统计截止于	Statistics as of
按难度排序	Sort by difficulty
按难度显示	Show by difficulty
按章节显示	Show by chapter
短时间比赛	Short game
按顺序选择	Select in order
复盘挑战赛	Replay challenge
注册新用户	Register a new user
做一题设置	Problem setup
本题收录于	Problem is included in
本题未通过	Problem failed
高权限棋友	Power users
最多不超过	No more than
官子新辞典	New Endgame Dictionary
枷吃和夹吃	Net
我的作业本	My task book
我的记谱本	My notation book
我的错题本	My mistakes book
我的收藏本	My collection
迷你中國流	Mini-Chinese opening
迷你中国流	Mini-Chinese opening
變相中国流	Mini-Chinese opening
變形中國流	Mini-Chinese opening
变相中国流	Mini-Chinese opening
变形中国流	Mini-Chinese opening
中盘作战题	Middle game problems
知识点列表	List of categories
韩国流布局	Korean opening
棋魂之棋谱	Hikaru No Go
挂上免战牌	Hang up the no-fight sign
布局猜子题	Guess opening moves
下棋等级分	Go rating points
藤泽库之助	Fujisawa Hosai
收藏本棋书	Favorite this book
人生十八局	Eighteen rounds of life
条修改记录	Edit record(s)
继续下一个	Continue to the next
继续做一题	Continue doing problems
按难度选择	Choose by difficulty
中国流布局	Chinese opening
取消免战牌	Cancel the no-fight sign
可立即落子	Can be placed immediately
大眼杀小眼	Big eye kills small eye
抱吃和包吃	Atari and capture
欢迎关注101围棋公众号，无需注册，直接通过微信就可以做题	Welcome to follow the 101weiqi official account. You can do the exercises directly through WeChat without registration.
围棋教室/棋社动态	News
围棋教室/棋社列表	Go classroom/club list
围棋考试/挑战赛	Go exam/challenge
围棋闯关-棋力测试	Go Strength Test
白▲刚下	white just played ▲
更新时间	update time
两次机会	two chances
三劫循環	triple ko
三劫循环	triple ko
不提三目	three points without capturing
初棋無劫	there are no ko threats in the opening
初棋无劫	there are no ko threats in the opening
记注意好	take care
左右同形	symmetrical shape
左右同型	symmetrical shape
上下同形	symmetrical position
周围棋子	surrounding stones
循序渐进	step-by-step
开始时间	start time
滾打包收	squeeze
滚打包收	squeeze
場合定式	situational joseki
场合定式	situational joseki
银卡会员	silver members
盤角板六	rectangular six in the corner
盘角板六	rectangular six in the corner
实战手筋	real-game tesuji
黄莺扑蝶	raccoon belly
黃鶯撲蝶	raccoon belly
蒼鷹搏兔	raccoon belly
四劫循環	quadruple ko
四劫循环	quadruple ko
後面推車	pushing from behind
后面推车	pushing from behind
题目审核	problem review
形勢判斷	positional judgement
形势判断	positional judgement
目的官子	point endgame
普通会员	ordinary members
只此一手	only move
一次机会	one chance
四角穿心	occupying four corners and center
尚未安定	not yet settled
老鼠偷油	mouse stealing oil
低中國流	low Chinese opening
低中国流	low Chinese opening
缓气征吃	loose ladder (full name)
本身劫材	local ko threat
最近对局	latest games
最后一手	last move
加入时间	join time
是否还有	is there still
答案有误	is a mistaken answer
高于等于	higher than or equal to
高中國流	high Chinese opening
高中国流	high Chinese opening
金卡会员	gold card members
後續手段	follow-up
后续手段	follow-up
不提五目	five points without capturing
有眼殺瞎	eye kills no eye
有眼杀瞎	eye kills no eye
金鸡独立	double shortage of liberties
金雞獨立	double shortage of liberties
死棋不杀	don't kill dead groups
活棋不攻	don't attack living groups
每日一問	daily problems
断多棋弱	cutting makes weak
补断棋强	connecting makes strong
恭喜答对	congratulations on the correct answer
梳形板六	comb formation
三目正中	center of three stones
三子正中	center of three stones
打二還一	capture two recapture one
打二还一	capture two recapture one
打三還一	capture three recapture one
打三还一	capture three recapture one
最佳次序	best order
最佳着手	best move
盤角曲四	bent four in the corner
盘角曲四	bent four in the corner
基本手筋	basic tesuji
在选点中	among the selected points
天下大劫	all-dominating ko
涛哥十佳	Yu Qingquan top 10
银冈棋院	Yingang Go Academy
微信扫码	WeChat scan code
微信登录	WeChat login
变化答案	Variation answers
上传文件	Upload file
骗招题目	Trick plays
题目搜索	Topic search
次数设置	Times settings
时间设定	Time settings
每方用时	Time per player
时间限制	Time limit
三目死活	Three-point life-and-death
思考时间	Thinking time
闯关成功	Successfully passed the barrier
提交范围	Submit scope
提交评论	Submit comment
提交答案	Submit answer
棋力检测	Strength detection
作业状态	State
开始解答	Start to answer
起始时间	Start time
开始挑选	Start selecting
开始做题	Start problems
幵始做题	Start doing the problems
专项训练	Special training
六目死活	Six-point life-and-death
简单官子	Simple endgame
立即注册	Sign up now
显示答案	Show answers
分享本题	Share this problem
对外分享	Share externally
棋形搜索	Shape search
七死八活	Seven die, eight live
标注难度	Set difficulty
育苗工程	Seedling project
旋转棋盘	Rotate board
闯关结果	Results
重设密码	Reset password
取消收藏	Remove bookmark
重做设置	Redo settings
错题重做	Redo mistakes
最近棋谱	Recent games
重新收藏	Re-bookmark
棋书查询	Query books
购买记录	Purchase history
公开题库	Public problem library
题型筛选	Problem type filtering
做题时间	Problem time
做题数据	Problem statistics
题目来源	Problem source
做题机会	Problem solving opportunities
题型设置	Problem settings
做题设置	Problem settings
题目范围	Problem scope
做题记录	Problem record
题目质量	Problem quality
做题次序	Problem order
题库状态	Problem library state
做题等级	Problem grade
打印题目	Print problems
错题打印	Print mistaken problems
请正确的	Please perfectly
个人信息	Personal information
闯关通过	Pass through
其他棋书	Other books
布局基础	Opening basics
一次读秒	One byo-yomi period
做题次数	Number of problems answered
做题数量	Number of problems
无需等待	No need to wait
没有数据	No data
我生成的	My generated
我的书券	My book coupons
修改类型	Modification type
错题统计	Mistake statistics
会员说明	Membership description
发出请求	Make request
最低难度	Lowest difficulty
天梯训练	Ladder training
韩国棋手	Korean players
小林光一	Kobayashi Koichi
继续做题	Keep doing problems
定式大全	Joseki encyclopedia
作业模板	Job template
作业列表	Job list
作业日期	Job date
日韩规则	Japanese/Korean rules
日本棋手	Japanese players
日本古典	Japanese classic
如何定形	How to stabilize the shape
我的首页	Home
最高难度	Highest difficulty
隐藏评价	Hide review
帮助中心	Help center
成长足迹	Growth Footprint
谷歌围棋	Google
围棋裁判	Go referee
棋盘风格	Go board style
入门吃子	Getting started capturing stones
生成新的	Generate new
生成棋书	Generate book
对局设置	Game settings
对弈规则	Game rules
四目死活	Four-point life-and-death
忘记密码	Forgot password
五目死活	Five-point life-and-death
查找棋友	Find friends
失败答案	Failure answers
闯关失败	Failed to break through
围棋闯关	Exam
每页显示	Every page shows
逃子方向	Escape direction
官子题目	Endgame
编辑记录	Edit record
落点分布	Drop point distribution
难度设置	Difficulty settings
难度范围	Difficulty range
难度显示	Difficulty display
作业难度	Difficulty
删除本书	Delete this book
当湖十局	Danghu Ten Bureau
每日八题	Daily 8 problems
创建棋书	Create book
龟不出头	Crane’s nest
题目数量	Count
正解答案	Correct answers
边角常型	Corner shape
完成时间	Completion date
今日完成	Completed today
清除错题	Clear mistaken problems
清除全部	Clear all
中国规则	Chinese rules
中国棋手	Chinese players
儿童围棋	Children's Go
查看详情	Check details
棋盘居中	Center board
吃子方向	Capture direction
购买会员	Buy membership
闯关时间	Break through time
再次闯关	Break through again
闯下一关	Break the next level
收藏此题	Bookmark problem
棋盘大小	Board size
北京时间	Beijing time
围豆奖励	Beidou rewards
基础死活	Basic life-and-death
淡路修三	Awaji Shuzo
平均难度	Average difficulty
自动生成	Automatically generated
今日抢答	Answer today
答案显示	Answer display
已经收藏	Already favorited
已经取消	Already cancelled
全部题型	All problem types
全部对局	All games
全部棋书	All books
增加题目	Add problem
添加评论	Add comment
增加章节	Add chapter
关于围豆	About Weidou
九路全局	9x9 whole board
七路全局	7x7 whole board
第五十二	52nd
第五十一	51st
第四十九	49th
第四十八	48th
第四十七	47th
第四十六	46th
第四十五	45th
第四十四	44th
第四十三	43rd
第四十二	42nd
第四十一	41st
第三十九	39th
第三十八	38th
第三十七	37th
第三十六	36th
第三十五	35th
第三十四	34th
第三十三	33rd
第三十二	32nd
第三十一	31st
第二十九	29th
第二十八	28th
第二十七	27th
第二十六	26th
第二十五	25th
第二十四	24th
第二十三	23rd
第二十二	22nd
第二十一	21st
还没有101帐号	Don’t have a 101 account yet
会员卡/围豆为虚拟产品，不支持退款。	Membership cards/weidou are virtual products and cannot be refunded.
做一题/签到 设置	Doing problem settings
四連星	yon ren sei
四连星	yon ren sei
超时胜	win on time
大局感	whole board thinking
个围豆	weidou
超大飞	very large knight's move
超大飛	very large knight's move
右上角	upper right corner
左上角	upper left corner
不限制	unlimited
倒脱靴	under the stones
倒脫靴	under the stones
大頭鬼	two-stone edge squeeze
大头鬼	two-stone edge squeeze
二手劫	two-step ko
二連星	two-star point opening
二连星	two-star point opening
三手劫	two-move approach ko
兩頭蛇	two-headed dragon
假眼活	two-headed dragon
两头蛇	two-headed dragon
兩手劫	two stage ko
两手劫	two stage ko
小豬嘴	tripod group with extra leg
小猪嘴	tripod group with extra leg
三年卡	three-year card
裝倒撲	threatening a snapback
装倒扑	threatening a snapback
这道题	this problem
最佳呢	the best
数目法	territory scoring
天王山	tennouzan
十番棋	ten-game match
萬年劫	ten thousand year ko
万年劫	ten thousand year ko
指導棋	teaching game
指导棋	teaching game
筋和形	suji and shape
不入子	suicide
提提交	submit
胀牯牛	squashing (oshitsubushi)
胀死牛	squashing (oshitsubushi)
小伸腿	small monkey jump
小棋盤	small board
小棋盘	small board
實戰手	situational move
先中後	sente with hidden gote
先中后	sente with hidden gote
半年卡	semi-annual card
三連星	san ren sei
三连星	san ren sei
错小目	rotating 3-4 points
錯小目	rotating 3-4 points
逆先手	reverse sente
逆官子	reverse endgame move
推荐码	referral code
条记录	records
实战手	real-game move
葡萄六	rabbity six
梅花六	rabbity six
疑问手	questionable move
疑問手	questionable move
题开始	problem onwards
问应手	probe
试应手	probe
試應手	probe
問應手	probe
交叉點	point
交叉点	point
收官子	play endgame
花见劫	picnic ko
花見劫	picnic ko
看花劫	picnic ko
無憂劫	picnic ko
无忧劫	picnic ko
待审核	pending review
脹死牛	oshitsubushi (bloated dead cow)
脹牯牛	oshitsubushi (bloated bullock)
單行道	one-way street
单行道	one-way street
一方地	one-sided territory
了一个	one
回贴数	number of replies
不难做	not difficult
新布局	new opening
新佈局	new opening
自然流	natural style
多元劫	multiple ko
一手棋	move
修改于	modified on
模仿棋	mirror Go
東坡棋	mirror Go
东坡棋	mirror Go
赖皮劫	many move approach ko
賴皮劫	many move approach ko
魔术师	magician
超时负	lose by time
缓征子	loose ladder
緩徵子	loose ladder
緊帶鈎	long l group without outside liberties
紧带钩	long l group without outside liberties
寬帶鈎	long l group with outside liberties
宽带钩	long l group with outside liberties
本身劫	local ko threat
大模樣	large-scale framework
大模样	large-scale framework
大伸腿	large monkey jump
大棋盤	large board
大棋盘	large board
大雪崩	large avalanche
征子劫	ladder ko
扭羊頭	ladder
扭羊头	ladder
劫之部	ko section
後手劫	ko (opponent captures first)
后手劫	ko (opponent captures first)
中级篇	intermediate level
进行中	in process
禁著點	illegal point
禁着点	illegal point
怎样下	how to play
隨手棋	hasty move
随手棋	hasty move
让子棋	handicap game
讓子棋	handicap game
授子棋	handicap game
後中先	gote with hidden sente
后中先	gote with hidden sente
五子棋	gomoku narabe
礼品卡	gift card
基本功	fundamentals
从零到	from zero to
先手利	forcing move
五連星	five-star-points
五连星	five-star-points
第一步	first step
第一手	first move
找本身	find yourself
假雙活	false seki
假双活	false seki
向小目	facing 3-4 points
无忧角	enclosed corner
空三角	empty triangle
象步飞	elephant's move
象步飛	elephant's move
镇神头	dual ladder breaker
鎮神頭	dual ladder breaker
倒垂蓮	drooping lotus joseki
倒垂莲	drooping lotus joseki
雙倒撲	double snapback
双倒扑	double snapback
連環劫	double ko
连环劫	double ko
摇橹劫	double ko
搖櫓劫	double ko
循環劫	double ko
循环劫	double ko
雙打吃	double atari
雙叫吃	double atari
双打吃	double atari
双叫吃	double atari
闪电四	dogleg four
閃電四	dogleg four
緊氣劫	direct ko
紧气劫	direct ko
一手劫	direct ko
梅花五	crossed five
扭十字	crosscut
发起人	creator
宇宙流	cosmic style
接不歸	connect-and-die
接不归	connect-and-die
码充值	code recharge
俱樂部	club
俱乐部	club
接触战	close combat fighting
金櫃角	carpenter's square
金柜角	carpenter's square
刀柄五	bulky five
刀板五	bulky five
刀把五	bulky five
大压梁	big pressure beam (a corner position)
基本的	basic
根據地	base
根据地	base
数子法	area scoring
鬆氣劫	approach ko
缓气劫	approach ko
緩氣劫	approach ko
松气劫	approach ko
寬氣劫	approach ko
宽气劫	approach ko
完全与	and
胜负手	all-or-nothing move
勝負手	all-or-nothing move
生死劫	all-dominating ko
天下劫	all-dominating ko
先手劫	a ko in which the player makes the first capture
刘昌赫	Yu Ch’ang-hyeok
验证码	Verification code
用户名	Username
上一步	Undo move
盘龙眼	Two-headed dragon
手筋题	Tesuji problem
叶老师	Teacher Ye
星定式	Star-point joseki
边之部	Side section
秀策流	Shusaku opening
猴子脸	Sake bottle shape
记住我	Remember me
公众号	Public account
上一题	Previous problem
前一页	Previous page
上一页	Previous page
练习册	Practice book
布局题	Opening problem
公开赛	Open
免战牌	No-fight sign
无棋子	No stone
下一题	Next problem
后一页	Next page
下一页	Next page
死活题	Life-and-death problem
死活題	Life-and-death problem
生之部	Life section
排行榜	Leaderboard
片冈聪	Kataoka Satoshi
定式题	Joseki problem
